lab1,lab2,lab3,hw,lab4,total
4.3,4.5,5,4,4.5,88.225
4.5,3,3.5,,3,63.9
5,5,4.9,5,5,75.591
4,4.5,3,4,5,75.166
4,4,3.9,3,3,60.005
4,4.3,5,4,5,75.175
4,3,3,3,3,60.15
4,4.5,3,3,3,62.125
4.9,4,4,,3,74.525
4,4,3.5,4,4.5,77.25
4,4.7,4,4,3.5,75.325
3,3,5,3,4,75.175
3.5,3,3,4,3,60.825
1,,,3,,28
,,,,,0
3,3,3,3,3,60.6
3,3,3,3,3,60.6
4,4,3,4,4,61.05
4,4,4,5,4.5,84.015
4,5,4.5,5,5,77.88
4,4,4,5,4,75.65
5,4.9,4,5,4,91.205
,,,,,0
3.75,3.5,3.5,3.5,5,60.6375
3,4.5,3,3,3,31.275
3,5,5,4,3,60
3.5,4,3.9,3.75,4,60.5625
4,5,5,5,5,75.04
3,3,,,,22.3
3.5,5,4,5,5,68.475
4,5,5,5,4,60.8
,,,,,2.2
4,5,4,5,5,60.225
4,4,3,5,3,43.5
,,,,,0
,,,,,0
4,4,5,4,4,75.6
3.75,4,3.6,4,3.5,75.4875
4,5,4.8,4.3,4.4,75.225
5,5,5,5,5,79.6
4,3,3,3,3,60.75
3,4,3,3.5,3,61.525
,,,,,3.3
4,4.8,4.5,4.07,4.3,75.22
4,4,3,3,3,60.9
,,,,,20
3,4,3,3,3,60
4,4,4,4,5,60.475
4,4,4,3.9,5,75.6
3.7,4,3.5,3,4.5,68.65
3.5,3,3,4,4.8,68.05
3.9,4.5,5,4,5,72.5
4,4,3.11,4,4,62.0075
3,3.3,3,4.5,,60.05
4,3,3.3,4.5,3.3,63.275
3,3,3,3,3,60
3.5,3,3,4,3,60
4,4.5,3.2,4,4,75.725
3,3,3,4,3,60
3,3,3,4,3,60
4,3,3.2,3,3,60
4.4,5,5,4,4,75.875
4,3,4,4,4,70.25
4,4,4,4,4,72.625
3,3,3,3,3,
,,,4,,
4.8,4.8,4.5,5,4.5,61.95
5,4,4.5,5,5,75.216
4,5,5,5,4,60.6
4,5,5,4,4,60.35
,,,,,0
,,,,,4.4
4.8,5,4,5,5,60.7
,,,,,2.2
5,5,4,5,3,61.95
4,4.5,4.5,4.5,4.5,75.15
5,5,5,4.5,5,60.725
4.75,4.5,4,4,4,63.4375
5,5,5,4,4,62.98
4,4,5,4,3,60.8
4,4.5,4,5,4.5,75.441
5,5,4.5,4,4.5,65.525
5,5,4.5,5,5,60.775
